Title,Field name,Display type,Path,uid,MissingValues,Minimum Required Instaces,Content Type,locale,Fix status
Discover Maldivian Heritage at a Traditional Island Village,Event Type,dropdown,Discover Maldivian Heritage at a Traditional Island Village ➜ Event Details ➜ Event Type,blte6d60cf36e7e5bc4,Not Selected,NA,article,en,
Signature Himalayan Salt Stone Massage,Event Type,dropdown,Signature Himalayan Salt Stone Massage ➜ Event Details ➜ Event Type,bltf9f6c956c69dc0f8,Not Selected,NA,article,en,
Aromatherapy Harmony Ritual,Event Type,dropdown,Aromatherapy Harmony Ritual ➜ Event Details ➜ Event Type,bltdadaf940abea45ff,Not Selected,NA,article,en,
Explore the Art of Maldivian Crafting,Event Type,dropdown,Explore the Art of Maldivian Crafting ➜ Event Details ➜ Event Type,blt5bd25c3c1b2c0f93,Not Selected,NA,article,en,
The Rustic Elegance of Forest Hearth,Event Type,dropdown,The Rustic Elegance of Forest Hearth ➜ Event Details ➜ Event Type,blt0ea7ebd7bb0f8bcc,Not Selected,NA,article,en,
Experience Maldives Cuisine,Event Type,dropdown,Experience Maldives Cuisine ➜ Event Details ➜ Event Type,blt6fc2c1602ab8e370,Not Selected,NA,article,fr,
Savor the Flavors at Bamboo Grove,Event Type,dropdown,Savor the Flavors at Bamboo Grove ➜ Event Details ➜ Event Type,blteded993418f4f394,Not Selected,NA,article,en,
History of the Maldives Tour,Event Type,dropdown,History of the Maldives Tour ➜ Event Details ➜ Event Type,blt9da59f1413a063a7,Not Selected,NA,article,fr,
Ofertas de paquetes,Theme,dropdown,Ofertas de paquetes ➜ Theme,blte8410a8a464892e3,Not Selected,NA,plp,fr,
Pauschalangebote,Theme,dropdown,Pauschalangebote ➜ Theme,blte8410a8a464892e3,Not Selected,NA,plp,fr,
Offres de forfaits,Theme,dropdown,Offres de forfaits ➜ Theme,blte8410a8a464892e3,Not Selected,NA,plp,fr,
